,time,frame_id,msg_name,signals
0,2,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 6.0, 'deg']]"
1,4,832,ENG1S05,"[['WSTL', 0.0, ''], ['VNCC', 0.0, 'km/h']]"
2,12,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 6.0, 'deg']]"
3,22,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 6.0, 'deg']]"
4,31,705,ENG1S01,"[['EACCP', 0.0, '%']]"
5,32,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 6.0, 'deg']]"
6,42,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 6.0, 'deg']]"
7,52,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 6.0, 'deg']]"
8,53,832,ENG1S05,"[['WSTL', 0.0, ''], ['VNCC', 0.0, 'km/h']]"
9,62,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 6.0, 'deg']]"
10,63,705,ENG1S01,"[['EACCP', 0.0, '%']]"
11,72,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 6.0, 'deg']]"
12,82,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 6.0, 'deg']]"
13,92,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 6.0, 'deg']]"
14,95,705,ENG1S01,"[['EACCP', 0.0, '%']]"
15,100,832,ENG1S05,"[['WSTL', 0.0, ''], ['VNCC', 0.0, 'km/h']]"
16,102,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 6.0, 'deg']]"
17,112,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 6.0, 'deg']]"
18,122,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 6.0, 'deg']]"
19,127,705,ENG1S01,"[['EACCP', 0.0, '%']]"
20,132,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 6.0, 'deg']]"
21,143,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 6.0, 'deg']]"
22,148,832,ENG1S05,"[['WSTL', 0.0, ''], ['VNCC', 0.0, 'km/h']]"
23,152,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 6.0, 'deg']]"
24,158,705,ENG1S01,"[['EACCP', 0.0, '%']]"
25,162,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 6.0, 'deg']]"
26,172,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 6.0, 'deg']]"
27,182,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 6.0, 'deg']]"
28,190,705,ENG1S01,"[['EACCP', 0.0, '%']]"
29,192,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 6.0, 'deg']]"
30,196,832,ENG1S05,"[['WSTL', 0.0, ''], ['VNCC', 0.0, 'km/h']]"
31,202,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 6.0, 'deg']]"
32,212,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 6.0, 'deg']]"
33,222,705,ENG1S01,"[['EACCP', 0.0, '%']]"
34,222,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 6.0, 'deg']]"
35,233,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 6.0, 'deg']]"
36,242,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 6.0, 'deg']]"
37,244,832,ENG1S05,"[['WSTL', 0.0, ''], ['VNCC', 0.0, 'km/h']]"
38,252,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 6.0, 'deg']]"
39,254,705,ENG1S01,"[['EACCP', 0.0, '%']]"
40,262,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 6.0, 'deg']]"
41,273,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 4.5, 'deg']]"
42,282,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 4.5, 'deg']]"
43,285,705,ENG1S01,"[['EACCP', 0.0, '%']]"
44,293,832,ENG1S05,"[['WSTL', 0.0, ''], ['VNCC', 0.0, 'km/h']]"
45,293,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 3.0, 'deg']]"
46,302,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 3.0, 'deg']]"
47,312,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 3.0, 'deg']]"
48,317,705,ENG1S01,"[['EACCP', 0.0, '%']]"
49,322,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 1.5, 'deg']]"
50,332,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 1.5, 'deg']]"
51,341,832,ENG1S05,"[['WSTL', 0.0, ''], ['VNCC', 0.0, 'km/h']]"
52,342,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 0.0, 'deg']]"
53,349,705,ENG1S01,"[['EACCP', 0.0, '%']]"
54,352,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -1.5, 'deg']]"
55,362,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -1.5, 'deg']]"
56,372,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -3.0, 'deg']]"
57,381,705,ENG1S01,"[['EACCP', 0.0, '%']]"
58,382,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -4.5, 'deg']]"
59,389,832,ENG1S05,"[['WSTL', 0.0, ''], ['VNCC', 0.0, 'km/h']]"
60,393,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -4.5, 'deg']]"
61,402,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -6.0, 'deg']]"
62,412,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -6.0, 'deg']]"
63,413,705,ENG1S01,"[['EACCP', 0.0, '%']]"
64,422,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -7.5, 'deg']]"
65,433,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -9.0, 'deg']]"
66,437,832,ENG1S05,"[['WSTL', 0.0, ''], ['VNCC', 0.0, 'km/h']]"
67,442,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -9.0, 'deg']]"
68,444,705,ENG1S01,"[['EACCP', 0.0, '%']]"
69,453,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -10.5, 'deg']]"
70,462,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -10.5, 'deg']]"
71,473,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -12.0, 'deg']]"
72,476,705,ENG1S01,"[['EACCP', 0.0, '%']]"
73,482,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -12.0, 'deg']]"
74,485,832,ENG1S05,"[['WSTL', 0.0, ''], ['VNCC', 0.0, 'km/h']]"
75,492,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -13.5, 'deg']]"
76,502,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -13.5, 'deg']]"
77,508,705,ENG1S01,"[['EACCP', 0.0, '%']]"
78,513,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -15.0, 'deg']]"
79,522,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -15.0, 'deg']]"
80,532,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -15.0, 'deg']]"
81,533,832,ENG1S05,"[['WSTL', 0.0, ''], ['VNCC', 0.0, 'km/h']]"
82,539,705,ENG1S01,"[['EACCP', 0.0, '%']]"
83,542,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -16.5, 'deg']]"
84,553,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -16.5, 'deg']]"
85,562,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -16.5, 'deg']]"
86,571,705,ENG1S01,"[['EACCP', 0.0, '%']]"
87,573,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -16.5, 'deg']]"
88,581,832,ENG1S05,"[['WSTL', 0.0, ''], ['VNCC', 0.0, 'km/h']]"
89,582,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -16.5, 'deg']]"
90,593,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -16.5, 'deg']]"
91,602,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -16.5, 'deg']]"
92,603,705,ENG1S01,"[['EACCP', 0.0, '%']]"
93,613,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -16.5, 'deg']]"
94,623,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -15.0, 'deg']]"
95,629,832,ENG1S05,"[['WSTL', 0.0, ''], ['VNCC', 0.0, 'km/h']]"
96,632,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -15.0, 'deg']]"
97,635,705,ENG1S01,"[['EACCP', 0.0, '%']]"
98,643,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -15.0, 'deg']]"
99,653,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -13.5, 'deg']]"
100,663,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -13.5, 'deg']]"
101,666,705,ENG1S01,"[['EACCP', 0.0, '%']]"
102,673,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -12.0, 'deg']]"
103,678,832,ENG1S05,"[['WSTL', 0.0, ''], ['VNCC', 0.0, 'km/h']]"
104,682,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -10.5, 'deg']]"
105,693,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -10.5, 'deg']]"
106,698,705,ENG1S01,"[['EACCP', 0.0, '%']]"
107,703,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -9.0, 'deg']]"
108,713,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -7.5, 'deg']]"
109,723,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -6.0, 'deg']]"
110,726,832,ENG1S05,"[['WSTL', 0.0, ''], ['VNCC', 0.0, 'km/h']]"
111,730,705,ENG1S01,"[['EACCP', 0.0, '%']]"
112,733,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -4.5, 'deg']]"
113,743,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -3.0, 'deg']]"
114,753,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -1.5, 'deg']]"
115,762,705,ENG1S01,"[['EACCP', 0.0, '%']]"
116,763,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -1.5, 'deg']]"
117,773,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 0.0, 'deg']]"
118,774,832,ENG1S05,"[['WSTL', 0.0, ''], ['VNCC', 0.0, 'km/h']]"
119,783,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 1.5, 'deg']]"
120,793,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 3.0, 'deg']]"
121,793,705,ENG1S01,"[['EACCP', 0.0, '%']]"
122,803,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 4.5, 'deg']]"
123,813,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 6.0, 'deg']]"
124,822,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 6.0, 'deg']]"
125,823,832,ENG1S05,"[['WSTL', 0.0, ''], ['VNCC', 0.0, 'km/h']]"
126,825,705,ENG1S01,"[['EACCP', 0.0, '%']]"
127,833,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 7.5, 'deg']]"
128,842,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 9.0, 'deg']]"
129,853,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 9.0, 'deg']]"
130,857,705,ENG1S01,"[['EACCP', 0.0, '%']]"
131,863,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 10.5, 'deg']]"
132,870,832,ENG1S05,"[['WSTL', 0.0, ''], ['VNCC', 0.0, 'km/h']]"
133,873,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 12.0, 'deg']]"
134,882,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 12.0, 'deg']]"
135,889,705,ENG1S01,"[['EACCP', 0.0, '%']]"
136,893,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 13.5, 'deg']]"
137,903,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 13.5, 'deg']]"
138,913,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 15.0, 'deg']]"
139,918,832,ENG1S05,"[['WSTL', 0.0, ''], ['VNCC', 0.0, 'km/h']]"
140,920,705,ENG1S01,"[['EACCP', 0.0, '%']]"
141,923,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 15.0, 'deg']]"
142,933,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 16.5, 'deg']]"
143,943,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 16.5, 'deg']]"
144,953,705,ENG1S01,"[['EACCP', 0.0, '%']]"
145,953,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 18.0, 'deg']]"
146,963,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 18.0, 'deg']]"
147,966,832,ENG1S05,"[['WSTL', 0.0, ''], ['VNCC', 0.0, 'km/h']]"
148,973,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 19.5, 'deg']]"
149,983,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 19.5, 'deg']]"
150,984,705,ENG1S01,"[['EACCP', 0.0, '%']]"
151,993,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 21.0, 'deg']]"
152,1003,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 21.0, 'deg']]"
153,1013,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 21.0, 'deg']]"
154,1014,832,ENG1S05,"[['WSTL', 0.0, ''], ['VNCC', 0.0, 'km/h']]"
155,1015,705,ENG1S01,"[['EACCP', 0.0, '%']]"
156,1023,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 22.5, 'deg']]"
157,1033,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 22.5, 'deg']]"
158,1043,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 22.5, 'deg']]"
159,1047,705,ENG1S01,"[['EACCP', 0.0, '%']]"
160,1053,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 24.0, 'deg']]"
161,1063,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 24.0, 'deg']]"
162,1063,832,ENG1S05,"[['WSTL', 0.0, ''], ['VNCC', 0.0, 'km/h']]"
163,1073,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 24.0, 'deg']]"
164,1079,705,ENG1S01,"[['EACCP', 0.0, '%']]"
165,1083,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 24.0, 'deg']]"
166,1093,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 25.5, 'deg']]"
167,1103,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 25.5, 'deg']]"
168,1111,705,ENG1S01,"[['EACCP', 0.0, '%']]"
169,1111,832,ENG1S05,"[['WSTL', 0.0, ''], ['VNCC', 0.0, 'km/h']]"
170,1113,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 25.5, 'deg']]"
171,1123,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 25.5, 'deg']]"
172,1133,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 25.5, 'deg']]"
173,1143,705,ENG1S01,"[['EACCP', 0.0, '%']]"
174,1143,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 25.5, 'deg']]"
175,1153,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 25.5, 'deg']]"
176,1159,832,ENG1S05,"[['WSTL', 0.0, ''], ['VNCC', 0.0, 'km/h']]"
177,1163,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 25.5, 'deg']]"
178,1173,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 25.5, 'deg']]"
179,1174,705,ENG1S01,"[['EACCP', 0.0, '%']]"
180,1183,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 25.5, 'deg']]"
181,1193,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 25.5, 'deg']]"
182,1203,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 25.5, 'deg']]"
183,1206,705,ENG1S01,"[['EACCP', 0.0, '%']]"
184,1207,832,ENG1S05,"[['WSTL', 0.0, ''], ['VNCC', 0.0, 'km/h']]"
185,1213,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 24.0, 'deg']]"
186,1223,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 24.0, 'deg']]"
187,1233,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 24.0, 'deg']]"
188,1238,705,ENG1S01,"[['EACCP', 0.0, '%']]"
189,1243,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 22.5, 'deg']]"
190,1253,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 22.5, 'deg']]"
191,1255,832,ENG1S05,"[['WSTL', 0.0, ''], ['VNCC', 0.0, 'km/h']]"
192,1263,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 21.0, 'deg']]"
193,1269,705,ENG1S01,"[['EACCP', 0.0, '%']]"
194,1273,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 21.0, 'deg']]"
195,1282,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 19.5, 'deg']]"
196,1293,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 18.0, 'deg']]"
197,1301,705,ENG1S01,"[['EACCP', 0.0, '%']]"
198,1302,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 18.0, 'deg']]"
199,1303,832,ENG1S05,"[['WSTL', 0.0, ''], ['VNCC', 0.0, 'km/h']]"
200,1313,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 16.5, 'deg']]"
201,1323,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 15.0, 'deg']]"
202,1333,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 13.5, 'deg']]"
203,1333,705,ENG1S01,"[['EACCP', 0.0, '%']]"
204,1343,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 13.5, 'deg']]"
205,1351,832,ENG1S05,"[['WSTL', 0.0, ''], ['VNCC', 0.0, 'km/h']]"
206,1352,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 12.0, 'deg']]"
207,1363,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 10.5, 'deg']]"
208,1365,705,ENG1S01,"[['EACCP', 0.0, '%']]"
209,1373,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 9.0, 'deg']]"
210,1382,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 9.0, 'deg']]"
211,1392,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 7.5, 'deg']]"
212,1396,705,ENG1S01,"[['EACCP', 0.0, '%']]"
213,1400,832,ENG1S05,"[['WSTL', 0.0, ''], ['VNCC', 0.0, 'km/h']]"
214,1402,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 6.0, 'deg']]"
215,1412,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 4.5, 'deg']]"
216,1423,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 4.5, 'deg']]"
217,1428,705,ENG1S01,"[['EACCP', 0.0, '%']]"
218,1432,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 3.0, 'deg']]"
219,1442,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 1.5, 'deg']]"
220,1448,832,ENG1S05,"[['WSTL', 0.0, ''], ['VNCC', 0.0, 'km/h']]"
221,1452,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 0.0, 'deg']]"
222,1460,705,ENG1S01,"[['EACCP', 0.0, '%']]"
223,1462,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', 0.0, 'deg']]"
224,1472,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -1.5, 'deg']]"
225,1482,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -3.0, 'deg']]"
226,1492,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -4.5, 'deg']]"
227,1493,705,ENG1S01,"[['EACCP', 0.0, '%']]"
228,1496,832,ENG1S05,"[['WSTL', 0.0, ''], ['VNCC', 0.0, 'km/h']]"
229,1502,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -4.5, 'deg']]"
230,1512,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -6.0, 'deg']]"
231,1522,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -7.5, 'deg']]"
232,1524,705,ENG1S01,"[['EACCP', 0.0, '%']]"
233,1533,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -7.5, 'deg']]"
234,1542,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -9.0, 'deg']]"
235,1544,832,ENG1S05,"[['WSTL', 0.0, ''], ['VNCC', 0.0, 'km/h']]"
236,1552,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -9.0, 'deg']]"
237,1555,705,ENG1S01,"[['EACCP', 0.0, '%']]"
238,1562,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -10.5, 'deg']]"
239,1572,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -10.5, 'deg']]"
240,1582,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -10.5, 'deg']]"
241,1587,705,ENG1S01,"[['EACCP', 0.0, '%']]"
242,1592,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -12.0, 'deg']]"
243,1593,832,ENG1S05,"[['WSTL', 0.0, ''], ['VNCC', 0.0, 'km/h']]"
244,1602,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -12.0, 'deg']]"
245,1612,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -12.0, 'deg']]"
246,1619,705,ENG1S01,"[['EACCP', 0.0, '%']]"
247,1622,37,STR1S01,"[['SSAZ', 4.5, 'deg'], ['SSA', -12.0, 'deg']]"
